name,team,position,rating,number,age,season
taiwo-awoniyi-fifa-20,1-fsv-mainz-05,ST,70,22,22,fifa20
jonathan-burkardt-fifa-20,1-fsv-mainz-05,ST,64,29,20,fifa20
niklas-kolle-fifa-20,1-fsv-mainz-05,LB,60,32,20,fifa20
salomon-kalou-fifa-20,hertha-bsc,LM,76,8,34,fifa20
alexander-esswein-fifa-20,hertha-bsc,RM,70,9,30,fifa20
muhammed-kiprit-fifa-20,hertha-bsc,ST,64,36,21,fifa20
florian-baak-fifa-20,hertha-bsc,CB,62,29,21,fifa20
niklas-tauer-fifa-20,1-fsv-mainz-05,CDM,59,45,19,fifa20
robin-zentner-fifa-20,1-fsv-mainz-05,GK,75,27,25,fifa20
devante-parker-fifa-20,1-fsv-mainz-05,LW,63,43,24,fifa20
alexander-nubel-fifa-20,fc-schalke-04,GK,75,35,23,fifa20
